Genre,Series Name,Series URL,Episode Title,Broadcast Date,Audio Source / Link
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,Black Magic,1944.09.18,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1944-09-18_black_magic.mp3&dl_series=The Whistler&dl_title=Black Magic&dl_date=1944.09.18&dl_size=6.75 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,Married To Murder,1944.09.25,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1944-09-25_married_to_murder.mp3&dl_series=The Whistler&dl_title=Married To Murder&dl_date=1944.09.25&dl_size=6.71 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,Not If I Kill You First,1944.10.02,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1944-10-02_not_if_i_kill_you_first.mp3&dl_series=The Whistler&dl_title=Not If I Kill You First&dl_date=1944.10.02&dl_size=6.75 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,Finders Weepers,1944.10.09,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1944-10-09_finders_weepers.mp3&dl_series=The Whistler&dl_title=Finders Weepers&dl_date=1944.10.09&dl_size=6.85 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,Tale Of The Dead Man Told,1944.10.16,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1944-10-16_tale_of_the_dead_man_told.mp3&dl_series=The Whistler&dl_title=Tale Of The Dead Man Told&dl_date=1944.10.16&dl_size=6.84 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,Death Carries A Lunch Kit,1944.10.23,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1944-10-23_death_carries_a_lunch_kit.mp3&dl_series=The Whistler&dl_title=Death Carries A Lunch Kit&dl_date=1944.10.23&dl_size=6.87 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,Beloved Fraud,1944.10.30,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1944-10-30_beloved_fraud.mp3&dl_series=The Whistler&dl_title=Beloved Fraud&dl_date=1944.10.30&dl_size=6.64 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,Beware The Bridegroom,1944.11.13,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1944-11-13_beware_the_bridegroom.mp3&dl_series=The Whistler&dl_title=Beware The Bridegroom&dl_date=1944.11.13&dl_size=6.69 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,Death Sees Double,1944.11.20,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1944-11-20_death_sees_double.mp3&dl_series=The Whistler&dl_title=Death Sees Double&dl_date=1944.11.20&dl_size=6.65 MB
The Whistler,https://radioechoes.com/?page=series&genre=OTR-Mystery&series=The%20Whistler,Death Walks A Tightwire,1944.11.27,https://radioechoes.com/?page=play_download&mode=play&dl_mp3folder=T&dl_file=the_whistler_1944-11-27_death_walks_a_tightwire.mp3&dl_series=The Whistler&dl_title=Death Walks A Tightwire&dl_date=1944.11.27&dl_size=6.79 MB
